country,route,stage,param,multiplier,demand,total_CO2e_kg
IND,EAF-Scrap,Finished,elec_ef,1.25,1000.0,1349.8561806918542
IRN,EAF-Scrap,Finished,elec_ef,0.75,1000.0,844.5775387003165
IRN,EAF-Scrap,Finished,elec_ef,1.0,1000.0,1045.344768098839
IRN,EAF-Scrap,Finished,elec_ef,1.25,1000.0,1246.111997497362
JPN,EAF-Scrap,Finished,elec_ef,0.75,1000.0,694.787375118903
JPN,EAF-Scrap,Finished,elec_ef,1.0,1000.0,845.6245499902881
JPN,EAF-Scrap,Finished,elec_ef,1.25,1000.0,996.4617248616728
KOR,EAF-Scrap,Finished,elec_ef,0.75,1000.0,630.9534609883798
KOR,EAF-Scrap,Finished,elec_ef,1.0,1000.0,760.5126644829235
KOR,EAF-Scrap,Finished,elec_ef,1.25,1000.0,890.0718679774674
RUS,EAF-Scrap,Finished,elec_ef,0.75,1000.0,663.7147819971669
RUS,EAF-Scrap,Finished,elec_ef,1.0,1000.0,804.1944258279731
RUS,EAF-Scrap,Finished,elec_ef,1.25,1000.0,944.6740696587791
TUR,EAF-Scrap,Finished,elec_ef,0.75,1000.0,592.0113959129864
TUR,EAF-Scrap,Finished,elec_ef,1.0,1000.0,708.5899110490658
TUR,EAF-Scrap,Finished,elec_ef,1.25,1000.0,825.1684261851449
USA,EAF-Scrap,Finished,elec_ef,0.75,1000.0,602.1099886775506
USA,EAF-Scrap,Finished,elec_ef,1.0,1000.0,722.0547014018182
USA,EAF-Scrap,Finished,elec_ef,1.25,1000.0,841.9994141260855
